,,,BDS00055_result,BDS00056_result,BDS00057_result,BDS00088_result,BDS00089_result,BDS00090_result,BDS00145_result,BDS00146_result,BDS00147_result,BDS00172_result,BDS00173_result,BDS00174_result,BDS00202_result,BDS00203_result,BDS00204_result,BDS00250_result,BDS00251_result,BDS00252_result,BDS00370_result,BDS00371_result,BDS00372_result,BDS00457_result,BDS00458_result,BDS00459_result,BDS01390_result,BDS01392_result,BDS01534_result,BDS01535_result,BDS01536_result,BDS01693_result,BDS01694_result,BDS01695_result
RAW,x.0.1,raw.copx.rmsd,0.836873,0.572754,0.626224,0.25868,0.414248,0.310616,0.529905,0.819907,0.674333,0.46342,0.472953,0.423038,0.429981,0.405215,0.533735,0.752477,0.867973,0.906279,0.303596,0.430194,0.526171,0.497167,0.53858,0.442915,0.325931,0.276108,0.227852,0.241559,0.239325,0.551285,0.496697,0.568922
RAW,y.0.1,raw.copy.rmsd,0.222936,0.266662,0.329144,0.188242,0.236228,0.122441,0.316905,0.499973,0.29866,0.362509,0.290202,0.349354,0.240251,0.371886,0.186389,0.234932,0.486984,0.524698,0.615533,0.308738,0.152412,0.247944,0.286555,0.26172,0.190121,0.171888,0.285349,0.131465,0.198418,0.232464,0.342456,0.293881
RAW,x.0.4,raw.copx.Ape,0.183905,0.254313,0.236126,0.584176,0.406861,0.431928,0.615777,0.591682,0.536276,0.367304,0.344067,0.341423,0.307079,0.363879,0.206408,0.152029,0.115178,0.110853,0.297177,0.240242,0.129864,0.446035,0.404005,0.488271,0.576115,0.470889,0.629339,0.598742,0.622886,0.287436,0.279807,0.250761
RAW,y.0.4,raw.copy.Ape,0.477497,0.37224,0.289039,0.585869,0.433521,0.477571,0.369298,0.259104,0.431957,0.400974,0.417754,0.457728,0.315129,0.27372,0.391745,0.382879,0.172038,0.20139,0.081734,0.241925,0.307971,0.486978,0.402712,0.405829,0.625296,0.504041,0.537955,0.686084,0.637604,0.475481,0.280557,0.325227
RAW,x.0.5,raw.copx.Sap,1.3834,1.389376,1.321462,1.356304,1.729935,2.439444,0.901496,0.925252,1.020555,2.121513,1.084436,1.842815,1.767391,1.476787,1.596015,1.981986,1.212589,2.694627,2.041497,1.553586,1.460164,1.054161,1.296422,1.241182,1.465468,1.610891,1.373951,1.030104,1.507655,1.558145,1.963135,1.89847
RAW,y.0.5,raw.copy.Sap,1.056515,1.387203,1.021113,1.075971,1.346759,1.613894,0.435556,0.49633,0.61705,1.841483,1.125631,1.715183,1.298647,1.113681,1.298726,1.532068,1.005199,2.797281,1.84219,1.832581,1.251598,0.777863,0.89569,0.901876,1.094723,1.122107,1.2383,0.86689,1.314897,1.313503,1.512588,1.433234
F1,x.1.1,IMF1.copx.rmsd,0.043458,0.03189,0.042575,0.048101,0.030609,0.018713,0.190432,0.229566,0.135549,0.020655,0.047239,0.027573,0.027103,0.032807,0.025189,0.023582,0.04519,0.011096,0.014757,0.017214,0.021685,0.088863,0.076505,0.069897,0.060069,0.034611,0.052342,0.076287,0.049346,0.041145,0.029955,0.032277
F1,y.1.1,IMF1.copy.rmsd,0.017539,0.024755,0.023586,0.07462,0.034483,0.012831,0.055516,0.031948,0.035474,0.040215,0.039355,0.049979,0.018108,0.042792,0.012384,0.014733,0.016773,0.018492,0.007361,0.023912,0.005099,0.03982,0.035364,0.018694,0.043894,0.035959,0.056504,0.041426,0.070709,0.033501,0.02021,0.019506
F1,x.1.4,IMF1.copx.Ape,0.859682,0.942195,0.809531,0.680184,1.086361,1.138025,0.590524,0.655402,0.73457,1.110703,0.666558,0.923588,0.952435,0.891673,0.885918,1.082987,0.540055,1.215606,1.017726,0.933458,0.80022,0.650012,0.773273,0.805828,0.633016,0.771867,0.779538,0.629468,0.826243,0.842461,1.006852,1.016202
F1,y.1.4,IMF1.copy.Ape,0.931411,0.764738,0.780629,0.43163,0.550256,0.890465,0.488142,0.982169,0.728122,0.711425,0.580799,0.579861,0.781967,0.364293,0.894555,1.010872,1.011433,0.917009,1.20051,0.561219,1.221765,0.617399,0.712609,1.069713,0.727923,0.623246,0.659914,0.583224,0.627464,0.703161,0.99114,1.097135
F1,x.1.5,IMF1.copx.Sap,0.555188,0.673115,0.51969,0.444149,0.896431,1.085169,0.382515,0.436778,0.550989,1.005045,0.347708,0.736647,0.724897,0.700494,0.686827,0.933802,0.332651,1.130277,0.914444,0.716277,0.615066,0.434989,0.526653,0.533951,0.468556,0.597805,0.547717,0.373847,0.610853,0.63986,0.882622,0.815005
F1,y.1.5,IMF1.copy.Sap,0.767265,0.575599,0.606713,0.124411,0.324408,0.768134,0.297867,0.756507,0.494756,0.446078,0.336748,0.299888,0.612439,0.150704,0.761773,0.886077,0.860731,0.725143,1.1278,0.394605,1.160899,0.415336,0.475447,0.874931,0.461109,0.294568,0.360099,0.35005,0.23711,0.493024,0.895241,0.966794
F2,x.2.1,IMF2.copx.rmsd,0.076685,0.071101,0.083187,0.085182,0.083888,0.070682,0.275591,0.388081,0.324181,0.098744,0.086355,0.051317,0.068704,0.080633,0.064788,0.075403,0.073502,0.063033,0.034807,0.054468,0.026395,0.135702,0.095669,0.091799,0.096003,0.053808,0.088466,0.060462,0.080262,0.057811,0.066354,0.065298
